column_client,column_daiteo
produit,Product name
product,Product name
nom,Product name
nom produit,Product name
product name,Product name
Numéro référence produit,Product reference
Numero reference produit,Product reference
num ref produit,Product reference
Product number,Product reference
Item identifier,Product reference
Item number,Product reference
Item ID,Product reference
Product ID,Product reference
identifiant produit,Product reference
product identifier,Product reference
product code,Product reference
code produit,Product reference
Product dimension,Product dimension
Dimension du produit,Product dimension
Dimensions produit,Product dimension
dim. produit,Product dimension
Dim,Product dimension
Dim.,Product dimension
Poids,Product weight
masse,Product weight
poids produit,Product weight
masse produit,Product weight
couleur produit,Product color
couleur,Product color
color,Product color
product color,Product color
product col,Product color
col,Product color
teinte produit,Product color
teintes produits,Product color
coloris produit,Product color

